Job Title,Job Type,Location,Experience Level,Salary Min (?),Salary Max (?),Min Education,Category,Openings,Notice Period,Year of Passing,Direct Link,Work Type,Interview Type,Company Name,Company Website,Company Description,Job Description,Requirements,Responsibilities,Skills
Data Executive,full time,nagpur,fresher,,,minimum bachelor degree,sales and marketing,,,,https://www.foundit.in/job/data-executive-sapid-research-nagpur-37658320,full time,online/offline,Sapid Research,https://sapidresearch.com/,". In a very limited time, Sapid Research has established its partnership with leading market research firms. With experienced professionals, and on-ground teams all over the globe makes the assigned research projects hassle-free.","Sapid Research is a global market research firm with a boundless experience in the industry. We strive to deliver our clients with innovative design, execution and interpretation of marketing research to deliver fresh consumer insights and market knowledge to clients worldwide.","Excellent verbal and written communication skills.
 Excellent organizational skills and attention to detail.
 Diploma/Bachelor's degree in any discipline
 Superior research and analytical skills.
 Proficient with Microsoft Office Suite or related software.","Identifies and defines the objective of an assigned marketing research project; determines the best methods to use to meet those objectives.
 Create research summaries in multiple formats, including spreadsheets, PowerPoint presentations, and written summaries.
 Summarizes and analyses data; makes recommendations related to research findings.
 Recruit the participants and assist and complete the project surveys on their behalf.
 Prepare findings and update databases to include newfound information, and create a summary of that analysis to pass on to the project manager.","microsoft office, data entry"
Machine Learning Engineer,full time,nagpur,4-5yrs,,,minimum bachelor degree,IT and networking,,,,https://www.foundit.in/job/machine-learning-engineer-python-tensorflow-vayuz-technologies-nagpur-35665542,full time,online/offline,Vayuz Technologies,https://www.vayuz.com/,"We are an Engineering company with leading capabilities in Digital Transformation, Internet-related services and products, Data Science, Development Operations, Product as a Service, Technology Consulting, and Software Engineering. We are trusted by NSE giants as a digital transformation partner and have a proven track record in providing customized digital solutions across industry segments. To know more visit us at www.vayuz.com VAYUZ DNA: We believe that great products require a product-thinking DNA. Our approach starts with putting the customer first and runs through everything we do�from the development process to the product design methodology, every line of code we write, and the way our team collaborates with clients","Vayuz Technologies is seeking a highly skilled and experienced Machine Learning Engineer with expertise in Python and TensorFlow to join our innovative team. You will be instrumental in developing, optimizing, and deploying sophisticated ML and Deep Learning models, working with complex datasets, and ensuring the reliability and performance of our AI-driven solutions in production environments.","Hands-on experience in Machine Learning and Deep Learning.
 Strong expertise in feature engineering, data exploration, and data preprocessing.
 Experience with imbalanced datasets and techniques to improve model generalization.
 Proficiency in Python, TensorFlow, Scikit-learn, and other relevant ML frameworks and libraries.
 Strong mathematical and statistical knowledge coupled with excellent problem-solving skills.
 Ability to optimize models for high accuracy and performance in real-world scenarios.","Data Analysis & Feature Engineering: Conduct comprehensive feature engineering, data analysis, and data exploration to extract valuable insights from diverse datasets.
 Model Development & Optimization: Develop and optimize cutting-edge Machine Learning models to achieve high accuracy, efficiency, and performance.
 Deep Learning Implementation: Design and implement advanced Deep Learning models, including Artificial Neural Networks (ANN), Convolutional Neural Networks (CNN), and Reinforcement Learning techniques.
 Imbalanced Data Handling: Effectively handle real-time imbalanced datasets and apply appropriate techniques to improve model fairness, generalization, and robustness.","Experience with Big Data technologies (e.g., Hadoop, Spark).
 Familiarity with containerization and orchestration tools (e.g., Docker, Kubernetes).
 Experience in automating ML pipelines with MLOps practices.
 Experience in model deployment using cloud platforms (e.g., AWS, GCP, Azure) or MLOps tools."
Application Tech Support Practitioner,full time,nagpur,3-5yrs,,,minimum bachelor degree,IT and networking,,,,https://www.foundit.in/job/application-tech-support-practitioner-accenture-india-nagpur-34270503,full time,online/offline,accenture india,https://www.accenture.com/in-en/about/location,"We�re committed to creating positive change around the world and ensuring we act as responsible business leaders for our people, our clients, and the communities we call home.","Project Role :
 Application Tech Support Practitioner
 Project Role Description :
 Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge.
 Must have skills :
 Wireless Technologies Operations","A minimum of 3 years of experience in Wireless Technologies Operations is required.
 This position is based in Bengaluru.
 A 15-year full-time education is required.","Perform independently and become a Subject Matter Expert (SME) in your area.
 Actively participate in team discussions and contribute ideas.
 Provide solutions to work-related problems and technical challenges.
 Offer ongoing support to clients, addressing their technical issues and concerns.
 Troubleshoot system or application issues and provide timely resolutions.
 Collaborate with cross-functional teams to ensure smooth system operations.
 Keep up-to-date with the latest product knowledge and industry trends.
 Identify areas for improvement and propose innovative solutions.","Proficiency in Wireless Technologies Operations.
 Strong understanding of statistical analysis and machine learning algorithms.
 Experience with data visualization tools such as Tableau or Power BI.
 Hands-on experience implementing machine learning algorithms, including linear regression, logistic regression, decision trees, and clustering algorithms.
 Strong skills in data munging techniques, including data cleaning, transformation, and normalization to ensure data quality and integrity."
Data Scientist (Generative AI) Lead,full time,nagpur,4-6yrs,,,minimum bachelor degree,Data Science,,,,https://www.foundit.in/job/data-scientist-generative-ai-lead-onactive-consulting-nagpur-35661107,full time,online/offline,Onactive Consulting,https://onactive.in,"At OnActive, we are dedicated to empowering businesses to achieve operational excellence. We are a leading business solutions provider, offering a comprehensive suite of services designed to streamline processes, enhance communication, and drive growth. Our expertise spans critical business functions, ensuring that our clients in India and beyond receive tailored solutions that deliver measurable results. Services: 1. EPBX in Healthcare: Providing advanced EPBX and cloud telephony solutions specifically designed for the healthcare sector.","Were looking for a data-science leader who can turn raw data into clear insight and innovative AI products. You ll own projects end-to-end from framing business questions and exploring datasets to deploying and monitoring models in the cloud. Along the way you ll introduce generative-AI ideas such as chat assistants and retrieval-augmented search, steer a small team of data professionals, and work closely with product, engineering, and business stakeholders to deliver measurable value.",,"Design and build predictive & forecasting models that drive measurable impact. Plan and run A/B experiments to validate ideas and guide product decisions. Develop and maintain data pipelines that ensure clean, trusted, and timely datasets.
 Lead generative-AI initiatives (e.g., LLM-powered chat, RAG search, custom embeddings).
 Package, deploy, and monitor models using modern MLOps practices in public cloud. Establish monitoring & alerting for accuracy, latency, drift, and cost. Mentor and coach the team, conducting code reviews and sharing best practices.
 Translate complex findings into clear, action-oriented stories for non-technical audiences.
 Ensure data governance and privacy across all projects, meeting internal and industry standards.
 Continuously evaluate new tools & methods, running quick PoCs to keep solutions cutting-edge.","Solid foundation in statistics, experiment design, and end-to-end ML workflows.
 Strong Python and SQL; proven record of moving models from notebook to production.
 Hands-on cloud experience (AWS, Azure, or GCP) with container-based deployment and CI/CD.
 Practical exposure to generative-AI projects prompt engineering, fine-tuning, or retrieval-augmented pipelines."
Machine Learning Engineer - Python/Hadoop,full time,nagpur,4-5yrs,,,minimum bachelor degree,AI/ML development,,,,https://www.foundit.in/job/machine-learning-engineer-python-hadoop-vayuz-technologies-pune-35665349,full time,online/offline,Vayuz Technologies,https://www.vayuz.com/,"VAYUZ was founded with a clear mission to build global and scalable technology products, by bringing world class engineers and designers together as a solid team that shares a deep passion for technology. Our Advisory and Leadership Team comprises of Industry Experts, CXOs with prior experience in verticals like BFSI, Healthcare, IT/ITES, Retail, Consulting etc. Our Cofounders have prior experience of building a funded EdTech Startup, doing an Indian IPO Listing and handling large scale portfolios of Fortune 500 Companies.","Job Type:
 Permanent Job
 Industry:
 Consulting
 Role:
 Software Engineer/Programmer
 Function:
 IT
 Employment Type:
 Full time
 Open to candidates from:
 Indian","4-5 years of hands-on experience in Machine Learning and Deep Learning.
 Strong expertise in feature engineering, data exploration, and data preprocessing.
 Experience with imbalanced datasets and techniques to improve model generalization.
 Proficiency in Python, TensorFlow, Scikit-learn, and other ML frameworks.
 Strong mathematical and statistical knowledge with problem-solving skills.
 Ability to optimize models for high accuracy and performance in real-world scenarios.","Conduct feature engineering, data analysis, and data exploration to extract valuable insights.
 Develop and optimize Machine Learning models to achieve high accuracy and performance.
 Design and implement Deep Learning models, including Artificial Neural Networks (ANN), Convolutional Neural Networks (CNN), and Reinforcement Learning techniques.
 Handle real-time imbalanced datasets and apply appropriate techniques to improve model fairness and robustness.
 Deploy models in production environments and ensure continuous monitoring, improvement, and updates based on feedback.
 Collaborate with cross-functional teams to align ML solutions with business goals.
 Utilize fundamental statistical knowledge and mathematical principles to ensure the reliability of models.
 Bring in the latest advancements in ML and AI to drive innovation.","Experience with Big Data technologies (e.g., Hadoop, Spark).
 Familiarity with containerization and orchestration tools (e.g., Docker, Kubernetes).
 Experience in automating ML pipelines with MLOps practices.
 Experience in model deployment using cloud platforms (AWS, GCP, Azure) or MLOps tools."
Infrastructure Architect,full time,nagpur,5-10yrs,,,minimum bachelor degree,cloud computing,,,,https://www.foundit.in/job/infrastructure-architect-accenture-india-nagpur-34284714,full time,online/offline,Accenture India,https://www.accenture.com/in-en/about/location,"We�re committed to creating positive change around the world and ensuring we act as responsible business leaders for our people, our clients, and the communities we call home.","As an Infrastructure Architect, you will be responsible for reviewing and integrating all Active Directory (AD) and Azure AD requirements. This includes functional, security, integration, performance, quality, and operations needs. You will also contribute to the technical AD architecture and assist in making decisions about hardware, network products, system software, and security for Digital Identity solutions.","The candidate must have 7-10 years of experience in Active Directory and Azure Active Directory.
 Strong written and oral communication skills, with experience in client-facing roles.
 Educational Qualifications:
 BE/BS in Computer Science, Electronics, Electrical/other branches of engineering, or Science graduate.","Serve as the core Subject Matter Expert (SME) for Active Directory, Active Directory Federation Services (ADFS), and Azure AD.
 Lead the design, build, and implementation of Active Directory solutions.
 Oversee the migration and consolidation of Active Directories.
 Provide consultation and guidance to customers regarding the technical architecture of solutions.","Active Directory Federation Services (ADFS)
 DNS, PKI, Azure/M365 Security
 AD LDS (Active Directory Lightweight Directory Services)
 MIM (Microsoft Identity Manager), OneIdentity Identity Manager
 Solid experience with Active Directory Federation Services, Azure AD, PKI, OU structures, and Group Policies.
 Knowledge of DNS, Azure IaaS, Azure/M365 Security, MFA, SSO, Azure AD Connect.
 Additional Skills:
 DHCP, TS, IIS, WAP, ADMT, PowerShell Scripting, Hyper-V."
Maintenance Technical Support Engineer,full time,nagpur,3-5yrs,,,BE/BETECH,assistant,,,,https://www.foundit.in/job/maintenance-technical-support-engineer-alstom-nagpur-39650068,full time,online/offline,Alstom,https://www.alstom.com/,"As the leading multinational sustainable mobility provider in India, Alstom offers a comprehensive portfolio of offerings to meet customer specific needs, from cost-efficient mass-market platforms to high-end technological innovations. Synonymous with the country�s �Rail Revolution�, Alstom continues to be a strategic partner in supporting India�s freight revolution and passenger movement.","At Alstom, we understand transport networks and what moves people. From high-speed trains, metros, monorails, and trams, to turnkey systems, services, infrastructure, signalling, and digital mobility, we offer our diverse customers the broadest portfolio in the industry. Every day, 80,000 colleagues lead the way to greener and smarter mobility worldwide, connecting cities as we reduce carbon and replace cars.","Working closely with railway clients worldwide to examine the commercial and engineering benefits of enhancing traction and auxiliary packages
 Targeting market solutions with flexibility for customization and supporting sales activities through cost evaluations
 Delivering technical assistance to site teams responsible for locomotive reliability
 Understanding customer needs by analyzing existing traction and auxiliary equipment performance
 Preparing and presenting engineering scopes and cost estimates
 Analyzing cost/benefits in terms of maintenance, reliability, and system performance
 Monitoring project progress against time plans and budgets
 Defining system functionality according to customer specifications
 Staying informed about technological advancements in the field
 Developing briefs for the commercial team and providing solutions for market opportunities
 Evaluating system and product life-cycle costs","Enjoy stability, challenges and a long-term career free from boring daily routines
 Work with new security standards for rail signalling
 Collaborate with transverse teams and helpful colleagues
 Contribute to innovative projects
 Utilise our dynamic and inclusive working environment
 Steer your career in whatever direction you choose across functions and countries
 Benefit from our investment in your development, through award-winning learning
 Progress towards leadership roles or technical specializations
 Benefit from a fair and dynamic reward package that recognises your performance and potential, plus comprehensive and competitive social coverage (life, medical, pension)","Degree in Engineering (B.E/B.Tech or equivalent)
 3-4 years of experience within a major railway industry organization
 Comprehensive knowledge of design, development, and application of traction drive systems or their sub-elements
 Proficiency in engineering and data analysis software applications
 General management knowledge (e.g., Finance, Operations, Business Excellence, Commercial, or Legal) is preferred
 Practical experience in providing solutions and applications engineering from a systems perspective
 Multi-national experience and familiarity with diverse cultures
 Proven project engineering experience with large industrial groups or projects
 Strong customer awareness and focus
 Excellent verbal and written communication skills
 Good presentation skills
 Ability to motivate and coordinate multi-disciplinary teams
 Developed planning and organizational skills
 Strong analytical and theoretical capabilities
 Risk awareness and analysis"
Administrative Assistant,full time,nagpur,fresher,,,minimum bachelor degree,assistant,,,,https://www.foundit.in/job/administrative-assistant-sagacious-impex-private-limited-nagpur-38700667,full time,online/offline,SAGACIOUS IMPEX PRIVATE LIMITED,https://sagaimpex.com/,"SAGACIOUS IMPEX PRIVATE LIMITED is a company based in Nagpur, India.","This is a full-time on-site role for an Administrative Assistant at SAGACIOUS IMPEX PRIVATE LIMITED in Nagpur. The Administrative Assistant will be responsible for providing administrative support, handling phone calls with professionalism, communicating effectively, and utilizing executive administrative assistance and clerical skills.","Administrative Assistance and Executive Administrative Assistance skills
 Phone Etiquette and Communication skills
 Clerical Skills
 Excellent organizational and time-management skills
 Proficiency in Microsoft Office suite (Word, Excel, Outlook)
 Attention to detail and accuracy
 Ability to multi-task and prioritize tasks
 Experience in a similar role is a plus",,"word, clerical skills, administrative assistance, outlook, ms office"
Personal Secretary,full time,nagpur,fresher,,,minimum bachelor degree,assistant,,,,https://www.foundit.in/job/personal-secretary-riddhi-siddhi-infotech-nagpur-37735059,full time,online/offline,Riddhi Siddhi Infotech,https://www.riddhi-infotech.com/,"Pioneering Software and Mobile App Development At Riddhi Infotech, we specialize in transforming innovative ideas into robust software solutions. As a premier software and mobile app development company, we leverage the latest technologies and industry best practices to deliver exceptional digital products that cater to diverse business needs.","This is a full-time on-site role for a Personal Secretary located in Nagpur. The Personal Secretary will handle day-to-day responsibilities, including assisting executives with their schedules, managing correspondence, and arranging meetings. The role also involves providing administrative and clerical support, maintaining records, and ensuring efficient office operations. Strong organizational and communication skills are key to supporting leadership effectively.","Proficiency in Personal Assistance and Executive Administrative Assistance
 Strong Administrative Assistance and Clerical Skills
 Excellent Communication skills, both written and verbal
 Ability to handle confidential information with professionalism
 Strong time management and organizational skills
 Relevant work experience in a similar role is a plus
 Bachelor's degree in Business Administration, Management, or a related field is preferred but not mandatory",,"clerical skills, personal assistace, administrative assistance"
Junior Architect,Full-time,"Nagpur, Maharashtra",Fresher - 1 year,"? 8,000","? 20,000",Bachelor's (B.Arch),Architect,2,Immediate Joiner,,artinteriorz17@gmail.com,On-Site,On-site,Art Interiorz,https://artinteriorz.com/,Creative interior and architectural design firm,"Assisting with architectural projects, drawing and designing structures, communicating with customers to assess requirements","AutoCAD, Interior Design, SketchUp, 3D Modelling, B.Arch mandatory","Assist architects, Create drawings, Review proposals, Support coordination","AutoCAD, SketchUp, Photoshop, 3D Design, Communication"
Residential Architect,Full-time,"Nagpur, Maharashtra",1-3 years,"? 15,000","? 35,000",Bachelor's (B.Arch),Architect,3,Upto 2 weeks,,info@conceptsarchitects.com,On-Site,On-site,Concepts Architects,https://conceptsarchitects.com/,Leading architectural design firm specializing in residential and commercial projects,"Design and oversee residential projects, prepare detailed architectural drawings, manage design proposals, coordinate with clients","1-3 years experience, AutoCAD expertise, Revit proficiency, Building codes knowledge","Design spaces, Prepare drawings, Coordinate clients, Manage timelines, Review progress","AutoCAD, Revit, Building Design, 3D Modelling, Project Management"
Commercial Architect,Full-time,"Nagpur, Maharashtra",2-5 years,"? 25,000","? 50,000",Bachelor's (B.Arch),Architect,2,Upto 4 weeks,,aakritiinteriors1@gmail.com,Hybrid,On-site,Aakriti Architects,https://www.aakritiarchitectsindia.com/,Premier architectural practice focused on commercial and institutional developments,"Design commercial buildings, manage large-scale projects, prepare construction documents, coordinate with engineering teams","2-5 years experience, Advanced AutoCAD, Revit, SketchUp expertise, Building regulations","Lead projects, Coordinate teams, Prepare documents, Site inspections, Client coordination","AutoCAD, Revit, SketchUp, Project Management, Building Regulations, 3D Visualization"
Interior Architect / Designer,Full-time,"Nagpur, Maharashtra",1-2 years,"? 10,000","? 25,000",Bachelor's (B.Arch) / Diploma,Architect,3,Immediate Joiner,,enquiry@paradisegroup.co.in,On-Site,On-site,Paradise Estate,https://www.paradisegroup.co.in/,Real estate and interior design company specializing in residential and commercial interiors,"Design interior spaces and layouts, prepare interior design drawings, create 3D visualizations, select materials and finishes","1-2 years experience, SketchUp expertise, 3D Modelling, Material knowledge, Design software","Design spaces, Create drawings, Prepare 3D visuals, Material selection, Contractor coordination","SketchUp, 3D Modelling, Interior Design, Material Selection, Revit, AutoCAD, Figma"
Architect - Building Plan Work,Full-time,"Nagpur, Maharashtra",5+ years,"? 40,000","? 70,000",Bachelor's (B.Arch),Architect,1,Upto 4 weeks,,laxairoffice@laxair.com,On-Site,On-site,LaxAir Studios,https://laxairinteriors.in/,Established architectural design studio in Ajni Square specializing in residential and commercial,"Prepare 2D and 3D designs for building projects, manage end-to-end project documentation, coordinate with municipal authorities","5+ years experience, AutoCAD mastery, Building codes expertise, Municipal approval knowledge","Create plans, Manage documentation, Coordinate approvals, Conduct reviews, Client coordination","AutoCAD, Building Design, Building Codes, Municipal Regulations, Documentation"
Architect / Project Manager,Full-time,"Nagpur, Maharashtra",3-6 years,"? 30,000","? 55,000",Bachelor's (B.Arch),Architect,2,Upto 3 weeks,,business@himalayainfra.com,Hybrid,On-site,Himalaya Infra,https://www.himalayainfra.com/,Infrastructure and construction company delivering residential and commercial projects,"Oversee architectural projects, coordinate with architects and engineers, manage project schedules, ensure compliance","3-6 years project management experience, Architect coordination, Budget management, Construction knowledge","Manage timelines, Coordinate teams, Ensure compliance, Budget management, Quality oversight","Project Management, Team Leadership, Budget Management, Construction Knowledge, Coordination"
3D Architectural Visualizer,Full-time,"Nagpur, Maharashtra",1-3 years,"? 15,000","? 35,000",Bachelor's (B.Arch) / Diploma,Architect,2,Immediate Joiner,,cozdes.studio@gmail.com,On-Site,On-site,COZ Design Studio,https://www.cozdesignstudio.co.in/,Creative design studio specializing in architectural visualization and 3D rendering,"Create high-quality 3D visuals and walkthroughs, prepare architectural renderings, develop visualization assets","1-3 years experience, 3D rendering software proficiency, Architectural design understanding, Creative skills","Create visualizations, Prepare renderings, Manage deadlines, Collaborate with teams, Deliver outputs","3D Rendering, Lumion, V-Ray, SketchUp, Photoshop, Animation, Design Software"
Architectural Draftsperson,Full-time,"Nagpur, Maharashtra",Fresher - 2 years,"? 8,000","? 22,000",Diploma / Bachelor's,Architect,5,Immediate Joiner,,contact@recruitlogy.com,On-Site,On-site,Recruitlogy Staffing Solutions,https://recruitlogy.com/,Staffing and recruitment services providing skilled professionals to architecture firms,"Prepare architectural drawings and sketches, create technical drawings, assist architects with project documentation","AutoCAD expertise, Technical drawing knowledge, Site survey background beneficial, Attention to detail","Create drawings, Prepare surveys, Assist architects, Handle documentation, Ensure accuracy","AutoCAD, Technical Drawing, SketchUp, Documentation, Sketching, 2D/3D Drafting"
Sustainable / Green Architect,Full-time,"Nagpur, Maharashtra",2-5 years,"? 30,000","? 55,000",Bachelor's (B.Arch) / Master's,Architect,1,Upto 2 weeks,,contact @ ecodesign.in.,Hybrid,On-site,EcoDesign Studios,https://eco-design.in/,Architectural practice focused on sustainable and environmentally responsible design,"Design sustainable buildings, incorporate green building standards, prepare LEED certification documentation, conduct energy analysis","2-5 years experience, LEED knowledge, Green building standards, Energy analysis skills, Environmental awareness","Design spaces, Prepare documentation, Conduct energy analysis, Ensure environmental standards","Sustainable Design, LEED, Green Building, Energy Analysis, Environmental Design, AutoCAD"
Restoration / Conservation Architect,Full-time,"Nagpur, Maharashtra",3-7 years,"? 35,000","? 65,000",Bachelor's (B.Arch) / Master's,Architect,1,Upto 3 weeks,,info@heritagerd.com,On-Site,On-site,Heritage Restoration Studio,https://www.heritagerd.com/,Specialized studio focused on heritage conservation and architectural restoration,"Design restoration projects, conduct heritage assessments, prepare conservation plans, manage restoration works","3-7 years experience, Heritage documentation, Material expertise, Restoration techniques, Conservation principles","Design restoration work, Conduct assessments, Prepare plans, Manage projects, Ensure conservation","Heritage Restoration, Conservation Planning, Material Analysis, Documentation, Project Management"
Institutional Architect,Full-time,"Nagpur, Maharashtra",3-6 years,"? 30,000","? 55,000",Bachelor's (B.Arch),Architect,1,Upto 2 weeks,,hr@www.educationdesign.in,On-Site,On-site,EduDesign Architects,https://www.educationdesign.in/,Specialized architectural firm designing educational and institutional buildings,"Design institutional and educational buildings, conduct facility planning, design functional layouts, ensure code compliance","3-6 years experience, Educational facility knowledge, Space planning expertise, Building codes knowledge","Design spaces, Plan facilities, Ensure compliance, Coordinate stakeholders, Create layouts","Institutional Design, Space Planning, Building Codes, Educational Design, Project Management"
Application Architect,Full-time,"Nagpur, Maharashtra",6-10 years,"? 70,000","? 1,25,000",Bachelor's (B.Tech/MCA),Architect,1,Upto 3 weeks,,contact@appworkstechnologies.in,Hybrid,Online,AppWorks Solutions,https://appworkstechnologies.in/,Application development and architecture services provider specializing in enterprise applications,"Design application architectures, develop technical specifications, manage application frameworks, ensure performance","6-10 years experience, Software architecture expertise, Framework knowledge, Leadership skills","Design applications, Develop specifications, Manage frameworks, Lead teams, Ensure performance","Application Architecture, Design Patterns, Framework Knowledge, Java/.NET, Database Design, Leadership"
Jr. BIM Architect,Full-time,"Nagpur, Maharashtra",Fresher - 2 years,"? 12,000","? 30,000",Bachelor's (B.Arch) / Diploma,Architect,5,Immediate Joiner,,amol@techyuga.in,On-Site,On-site,Techyuga Structural Solutions,https://techyuga.in/,Specialized structural and BIM services provider for construction and engineering projects,"Prepare 3D models in Revit for building types, convert CAD drawings to BIM models, develop BIM strategies","Revit expertise, AutoCAD proficiency, Navisworks knowledge, Clash detection experience, Building modeling","Create BIM models, Conduct clash detection, Prepare documentation, Coordinate design teams","Revit, AutoCAD, Navisworks, BIM Software, 3D Modelling, Clash Detection, Documentation"
UX Architect,Full-time,"Nagpur, Maharashtra",3-6 years,"? 45,000","? 85,000",Bachelor's (B.Tech/Design),Architect,2,Upto 2 weeks,,hello@designflowstudio.com.,Remote/Hybrid,Online,DesignFlow Studios,https://designflowstudio.com/privacy-notice/,Digital design and user experience agency specializing in architecture and design systems,"Design user experience architectures, create design systems, develop information architectures, conduct user research","3-6 years experience, Design systems expertise, User research, Interaction design, Design tools proficiency","Design UX solutions, Create design systems, Conduct research, Define patterns, Lead strategy","UX Design, Information Architecture, Design Systems, User Research, Figma, Prototyping, Design Thinking"
BIM Architect Junior,Full-time,"Nagpur, Maharashtra",Fresher - 2 years,"? 12,000","? 30,000",Bachelor's (B.Arch) / Diploma,Architect,5,Immediate Joiner,,amol@techyuga.in,On-Site,On-site,Techyuga Structural,https://techyuga.in/,Specialized structural and BIM services provider,"Prepare 3D BIM models, convert 2D drawings, clash detection, construction documentation","Revit expertise, AutoCAD, Navisworks, Building codes","Create models, Detect clashes, Prepare documentation","Revit, AutoCAD, Navisworks, BIM Software, 3D Modelling"
Software Architect,Full-time,"Nagpur, Maharashtra",5-10 years,"? 60,000","? 1,20,000",Bachelor's (B.Tech/MCA),Architect,2,Upto 4 weeks,,hr@techcore.co.in,Hybrid,Online,TechCore Solutions,https://techcore.co.in/,IT consulting and software development company,"Design software architectures, develop specifications, lead architectural reviews","5-10 years software development, System design, Microservices architecture","Design solutions, Lead reviews, Mentor developers","Software Architecture, Microservices, Cloud Services, Design Patterns"
Cloud Architect Azure,Full-time,"Nagpur, Maharashtra",4-8 years,"? 65,000","? 1,25,000",Bachelor's (B.Tech/MCA),Architect,2,Upto 4 weeks,,contact@aptacloud.com,Remote/Hybrid,Online,AzureCloud Services,https://aptacloud.com/lp/azure-hosting-india/,Azure cloud platform services provider,"Design Azure solutions, manage cloud platforms, cost optimization","4-8 years Azure expertise, Cloud design, Infrastructure, DevOps","Design Azure, Manage platforms, Optimize costs","Azure, Cloud Architecture, Infrastructure, DevOps"
Enterprise Architect,Full-time,"Nagpur, Maharashtra",7-12 years,"? 80,000","? 1,50,000",Bachelor's (B.Tech/MBA),Architect,1,Upto 4 weeks,,support@accenturealumni.com,Hybrid,Online,Accenture Services,https://www.accenture.com/in-en,Global consulting and IT services company,"Design enterprise architectures, translate business needs, develop frameworks","7-12 years enterprise experience, TOGAF, Business analysis, Leadership","Design solutions, Lead transformations, Manage stakeholders","Enterprise Architecture, TOGAF, Business Analysis, Leadership"
Solution Architect,Full-time,"Nagpur, Maharashtra",4-7 years,"? 55,000","? 1,00,000",Bachelor's (B.Tech/MCA),Architect,3,Upto 2 weeks,,askus@infosys.com,Hybrid,Online,Infosys Limited,https://www.infosys.com/,Global IT services and consulting company,"Design technology solutions, gather requirements, develop specifications","4-7 years IT experience, Solution design, Client management, Technical knowledge","Design solutions, Gather requirements, Manage clients","Solution Design, Requirements Analysis, Client Management, Communication"
Network Architect,Full-time,"Nagpur, Maharashtra",5-9 years,"? 58,000","? 1,08,000",Bachelor's (B.Tech),Architect,1,Upto 3 weeks,,tomer@netdesign.media,Hybrid,Online,NetDesign Solutions,https://netdesign.media/,Network design and architecture services,"Design network infrastructures, ensure connectivity, manage operations","5-9 years networking experience, Cisco, Security, Routing protocols","Design networks, Ensure connectivity, Manage systems","Network Architecture, Cisco, Security, Routing, Design"
Application Architect,Full-time,"Nagpur, Maharashtra",6-10 years,"? 70,000","? 1,25,000",Bachelor's (B.Tech/MCA),Architect,1,Upto 3 weeks,,contact@appworkstechnologies.in,Hybrid,Online,AppWorks Solutions,https://appworkstechnologies.in/,Application development and architecture services,"Design application architectures, develop specifications, lead teams","6-10 years application development, Software architecture, Framework knowledge","Design applications, Develop specifications, Lead teams","Application Architecture, Design Patterns, Framework Knowledge, Java"
Microservices Architect,Full-time,"Nagpur, Maharashtra",5-8 years,"? 68,000","? 1,20,000",Bachelor's (B.Tech/MCA),Architect,2,Upto 3 weeks,,info@microproindia.com,Hybrid,Online,MicroservicesPro,https://www.microproindia.com/about-micropro-the-company/,Microservices architecture and development,"Design microservices architectures, manage deployments, lead teams","5-8 years microservices experience, Docker, Kubernetes, REST APIs","Design architectures, Manage deployments, Lead teams","Microservices Architecture, Docker, Kubernetes, APIs, Java"
QA Architect,Full-time,"Nagpur, Maharashtra",6-9 years,"? 55,000","? 1,05,000",Bachelor's (B.Tech),Architect,1,Upto 2 weeks,,jsm1977@gmail.com,Hybrid,Online,QAMasters,https://www.qa-masters.com/,Quality assurance and testing services,"Design QA strategies, develop automation frameworks, lead testing","6-9 years QA experience, Automation, Testing frameworks, Leadership","Design strategies, Develop frameworks, Lead teams","QA Architecture, Automation, Testing Frameworks, Python, Selenium"
SAP Architect,Full-time,"Nagpur, Maharashtra",6-10 years,"? 68,000","? 1,25,000",Bachelor's (B.Tech/MBA),Architect,1,Upto 4 weeks,,sales@sapcontrol.com,Hybrid,Online,SAPConsulting,https://www.sapcontrol.com/,SAP ERP and enterprise solutions,"Design SAP solutions, manage implementations, optimize systems","6-10 years SAP experience, ABAP, Configuration, Analytics","Design solutions, Lead implementations, Optimize operations","SAP Architecture, ABAP, Configuration, Analytics, Module Knowledge"
Mobile Architect,Full-time,"Nagpur, Maharashtra",5-9 years,"? 60,000","? 1,15,000",Bachelor's (B.Tech),Architect,1,Upto 3 weeks,,arpan@mobilefirst.in,Hybrid,Online,MobileFirst,https://www.mobilefirst.in/,Mobile app development and architecture,"Design mobile architectures, manage platforms, lead development","5-9 years mobile experience, iOS, Android, React Native","Design architectures, Lead development, Manage teams","Mobile Architecture, iOS, Android, React Native, Swift, Kotlin"
Junior Architect,Full-time,"Nagpur, Maharashtra",0-1 Years,15000,25000,Bachelor Degree (B.Arch),Architect,3,Immediate,,himalayainfraprojects@hotmail.com,On-Site,On-site,Himalaya Infra,https://www.himalayainfra.com/sunshine,Construction and infrastructure development company,"Co-ordinate with principal architect, landscape architects and site engineers for residential building projects","Bachelor in Architecture, Software proficiency, Design understanding",Coordinate with architects and engineers on projects,"AutoCAD, SketchUp, Design thinking, Communication"
